Date,Total Sales
9/13/2017,31877.69
7/24/2018,48083.44
4/26/2017,18696.09
8/8/2018,51360.5
1/14/2018,35388.83
11/18/2017,27205.38
2/13/2018,28125.11
2/4/2017,15717.21
7/9/2017,10075.68
5/15/2017,21420.97
4/11/2017,9802.58
12/10/2017,28617.28
5/16/2017,24364.7
7/4/2018,41579.8
1/23/2017,7553.89
3/19/2018,52581.75
7/2/2018,29422.43
3/24/2018,27711.42
7/13/2017,17986.75
7/27/2018,33331.13
6/7/2018,42676.38
7/25/2018,47912.59
3/1/2018,46189.25
8/14/2018,51471.37
1/2/2018,29410.51
4/25/2018,47356.47
12/26/2017,23787.74
5/11/2018,43250.01
11/21/2017,39276.17
8/12/2017,16194.09
10/26/2017,26317.77
2/22/2018,38690.94
9/18/2017,32535.25
3/23/2018,34638.16
2/3/2018,27570.62
3/7/2018,42471.16
1/8/2018,45168.65
2/27/2018,47076.98
9/11/2017,26985.65
8/6/2017,16965.11
6/4/2018,34326.4
1/16/2018,51093.97
3/12/2018,35930.91
3/23/2017,18795.93
5/2/2018,44764.32
6/11/2018,57313.28
12/5/2017,39560.42
11/24/2017,178377.63
4/16/2018,47359.48
4/7/2018,29014.87
12/12/2017,38557.38
10/16/2017,35107.63
7/29/2018,36468.28
2/17/2018,29414.49
5/22/2017,28906.6
2/21/2018,37926.96
7/31/2017,20438.67
6/1/2018,37282.67
4/28/2017,18063.29
3/26/2018,41955.68
4/6/2017,25242.81
5/19/2017,21517.68
2/6/2018,39846.72
3/6/2018,45971.25
8/4/2017,21629.61
12/27/2017,21027.51
8/4/2018,41227.8
5/18/2017,20856.51
5/14/2017,17540.92
5/17/2018,35966.73
8/9/2017,24018.02
2/1/2018,35736.74
5/17/2017,21396.33
6/26/2018,37616.54
1/28/2017,5883.01
7/26/2018,41784.72
3/18/2017,17938.49
12/15/2017,31451.63
5/19/2018,28319.73
11/28/2017,56248.47
8/15/2017,27940.67
4/22/2018,31991.81
3/9/2018,33716.51
3/31/2018,29053.17
3/13/2017,19306.06
3/27/2018,40630.2
6/13/2017,16579.45
5/8/2018,54720.09
11/30/2017,36618.09
7/8/2018,17554.74
11/15/2017,27546.25
2/19/2018,33735.95
2/2/2017,10475.3
10/27/2017,23152.45
2/10/2018,25021.38
6/18/2018,41023.4
7/23/2018,47975.62
6/13/2018,41586.63
8/15/2018,52358.65
12/18/2017,33810.61
8/25/2018,11737.76
2/15/2018,37940.27
2/18/2018,29061.89
2/20/2017,9157.3
6/20/2017,14069.74
4/20/2017,15722.39
3/11/2018,36618.35
9/15/2017,21556.67
5/14/2018,62230.72
7/28/2018,30065.12
11/19/2017,23312.61
8/26/2018,9333.16
7/30/2017,15341.68
3/21/2018,46433.96
12/22/2017,17208.04
5/9/2017,23886.12
3/25/2018,30192.79
12/8/2017,34362.22
4/10/2018,32535.26
3/10/2018,30801.14
1/22/2018,43395.11
7/17/2017,25363.55
5/1/2018,38441.68
9/19/2017,23425.66
9/25/2017,20944.59
4/11/2018,47204.46
12/20/2017,32004.67
8/20/2018,39851.87
8/3/2018,49517.58
8/17/2017,21737.95
11/22/2017,29951.16
7/19/2018,44911.24
6/5/2018,36101.72
10/13/2017,26405.41
2/2/2018,32517.5
7/30/2018,45814.02
7/6/2018,22108.67
8/19/2018,29966.5
1/27/2018,25102.77
3/17/2018,23996.86
11/17/2017,34192.17
9/27/2017,24083.23
7/7/2018,11277.24
8/22/2018,24262.61
5/9/2018,50968.64
5/7/2018,62460.21
11/26/2017,53595.2
9/29/2017,33704
5/21/2017,20368.53
6/27/2017,19575.96
10/3/2017,30389.12
1/23/2018,40293.17
5/18/2018,36429.78
8/10/2017,23323.21
6/10/2018,30288.25
5/29/2018,29430.63
9/26/2017,25241.66
3/30/2017,11435
9/21/2017,22458.19
2/13/2017,12885.87
12/30/2017,15189.49
