ds,yhat,yhat_lower,yhat_upper
10/18/2018,22016.65378,10596.60961,33124.56166
10/19/2018,24259.73372,12253.21448,35573.28196
10/20/2018,15194.21183,2882.487632,26656.50048
10/21/2018,15943.61821,4463.354441,28088.37175
10/22/2018,23238.7591,11467.17443,36064.21198
10/23/2018,21973.68202,10063.74596,33441.10655
10/24/2018,20197.84287,8876.950524,31931.3207
10/25/2018,18630.50415,7156.151296,30783.95555
10/26/2018,18226.67225,5975.02971,29625.43009
10/27/2018,11464.12732,0,22950.40585
10/28/2018,12212.58859,943.8427584,24307.22511
10/29/2018,19632.18025,7445.714434,30577.79853
10/30/2018,18622.12591,6649.129946,29557.773
10/31/2018,17234.07771,6104.925104,28368.38279
11/1/2018,16186.34863,5151.234751,26892.7924
11/2/2018,16429.75751,5012.677913,28613.83986
11/3/2018,10434.64405,0,21169.11767
11/4/2018,12060.09879,467.1070185,23591.84132
11/5/2018,20452.57327,8664.487984,31609.37643
11/6/2018,20494.79656,9932.099156,31230.44022
11/7/2018,22237.95408,11149.03524,34592.82724
11/8/2018,20323.51437,8612.233258,32389.3526
11/9/2018,21735.03746,10630.41184,33476.75942
11/10/2018,16900.12641,5287.185224,28395.75713
11/11/2018,19652.94296,8353.276773,30732.56733
11/12/2018,29114.80884,17870.32845,39952.2608
11/13/2018,30143.68344,19536.63354,42304.51878
11/14/2018,30748.35291,18082.75296,42730.48927
11/15/2018,31603.58022,19913.43517,43437.02471
11/16/2018,33616.90435,22529.07858,45290.21469
11/17/2018,29216.62409,17410.53147,40225.81237
11/18/2018,32221.9886,20810.91438,44745.26922
11/19/2018,41742.73693,29920.41895,52580.47097
11/20/2018,42628.89046,31482.48314,53962.43939
11/21/2018,32206.32005,20096.85986,44111.2267
11/22/2018,43186.34288,32199.65121,54519.60561
11/23/2018,50168.011,39000.90843,61501.27093
11/24/2018,39094.58945,26322.17881,50463.03541
11/25/2018,40969.46968,30351.45024,52852.09659
11/26/2018,49194.22681,37595.29985,59947.39876
11/27/2018,48638.18836,37363.43223,60468.65826
11/28/2018,47328.47706,35052.0933,58483.4889
11/29/2018,45964.87373,34725.14316,57729.30281
11/30/2018,45486.18022,33697.06585,55809.33563
12/1/2018,38357.62679,26747.71958,49529.48103
12/2/2018,38440.35861,26535.3569,50076.22363
12/3/2018,44890.15872,33587.42744,56626.26129
12/4/2018,42606.32985,31195.07084,53938.87427
12/5/2018,39645.1356,27904.12506,51021.5687
12/6/2018,36734.06666,24646.71748,48779.26549
12/7/2018,34837.63917,23255.43349,46470.87592
12/8/2018,26444.28224,15521.23041,38561.50609
12/9/2018,25435.36099,14625.80547,36406.66656
12/10/2018,30983.50285,18986.30907,42553.17783
12/11/2018,28001.15785,16569.21217,39662.07018
12/12/2018,24553.80066,12242.51834,36711.34267
12/13/2018,21374.04464,9846.702782,33878.32786
12/14/2018,19427.37789,7692.820313,30797.12472
12/15/2018,11199.07903,0,23347.65803
12/16/2018,10563.35744,82.40286257,22778.72396
12/17/2018,16681.88236,5791.31728,28348.25338
12/18/2018,14452.62591,2843.931549,26317.8402
12/19/2018,11923.42041,0,23482.82334
12/20/2018,9806.491356,0,20680.14139
12/21/2018,9044.665598,0,19713.08537
12/22/2018,2098.800956,0,13597.63254
12/23/2018,2817.46966,0,14962.79871
12/24/2018,10336.04703,0,21125.66423
12/25/2018,0,0,10343.61755
12/26/2018,8409.585341,0,19351.1573
12/27/2018,7673.738839,0,19691.23163
12/28/2018,8237.955698,0,19997.00302
12/29/2018,2541.58512,0,13893.58878
12/30/2018,4414.029337,0,16488.17132
12/31/2018,12974.16799,1209.037814,23879.1236
1/1/2019,13080.03096,1040.452642,24785.21643
1/2/2019,12743.10248,1461.655538,24497.11027
1/3/2019,12643.50224,1377.585849,24398.27016
1/4/2019,13696.73074,2528.897401,25662.11355
1/5/2019,8341.51497,0,20659.66028
1/6/2019,10409.78025,0,22053.61467
1/7/2019,19025.89606,7007.714819,30740.73918
1/8/2019,19056.10762,7159.048844,31024.69595
1/9/2019,18522.54352,6608.613614,30411.42965
1/10/2019,18118.05393,6342.968025,31082.52799
1/11/2019,18772.57599,6446.929236,30874.69037
1/12/2019,12940.57301,1495.734186,24751.26797
1/13/2019,14470.58386,2955.572067,25778.19123
1/14/2019,22504.04112,10751.71617,33806.4793
1/15/2019,21924.2806,10187.47945,33684.25774
