CustomerID,frequency,recency,T,monetary_value
12346,0.0,0.0,325.0,0.0
12347,6.0,365.0,367.0,599.7
12348,3.0,283.0,358.0,301.48
12349,0.0,0.0,18.0,0.0
12350,0.0,0.0,310.0,0.0
12352,6.0,260.0,296.0,368.26
12353,0.0,0.0,204.0,0.0
12354,0.0,0.0,232.0,0.0
12355,0.0,0.0,214.0,0.0
12356,2.0,303.0,325.0,269.91
12357,0.0,0.0,33.0,0.0
12358,1.0,149.0,150.0,683.2
12360,2.0,148.0,200.0,789.24
12361,0.0,0.0,287.0,0.0
12362,9.0,292.0,295.0,527.46
12363,1.0,133.0,242.0,252.9
12364,3.0,105.0,112.0,229.73
12365,0.0,0.0,291.0,0.0
12367,0.0,0.0,4.0,0.0
12370,3.0,309.0,360.0,651.62
12371,1.0,15.0,59.0,360.0
12372,2.0,225.0,296.0,449.41
12373,0.0,0.0,311.0,0.0
12374,0.0,0.0,25.0,0.0
12375,1.0,88.0,98.0,227.2
12377,1.0,39.0,354.0,626.6
12378,0.0,0.0,129.0,0.0
12379,1.0,89.0,170.0,392.4
12380,3.0,164.0,185.0,705.75
12381,4.0,115.0,119.0,144.14
12383,4.0,168.0,352.0,312.46
12384,1.0,93.0,121.0,292.58
12386,1.0,29.0,366.0,143.0
12388,5.0,311.0,326.0,469.87
12390,0.0,0.0,79.0,0.0
12391,0.0,0.0,21.0,0.0
12393,3.0,260.0,332.0,373.37
12394,1.0,154.0,217.0,891.4
12395,10.0,352.0,371.0,267.25
12397,1.0,100.0,135.0,1195.09
12398,0.0,0.0,45.0,0.0
12399,3.0,142.0,261.0,273.53
12401,0.0,0.0,303.0,0.0
12402,0.0,0.0,323.0,0.0
12403,0.0,0.0,49.0,0.0
12405,0.0,0.0,148.0,0.0
12407,4.0,215.0,264.0,370.46
12408,3.0,228.0,260.0,683.65
12410,0.0,0.0,308.0,0.0
12412,2.0,95.0,169.0,356.19
12413,2.0,271.0,337.0,139.43
12414,2.0,93.0,310.0,204.32
12417,8.0,354.0,357.0,419.72
12418,0.0,0.0,112.0,0.0
12420,0.0,0.0,63.0,0.0
12421,3.0,304.0,319.0,216.53
12422,2.0,229.0,324.0,282.53
12423,7.0,353.0,353.0,231.63
12424,0.0,0.0,162.0,0.0
12425,0.0,0.0,78.0,0.0
12426,0.0,0.0,194.0,0.0
12427,2.0,350.0,371.0,261.15
12428,6.0,258.0,283.0,497.87
12429,3.0,356.0,365.0,822.97
12430,0.0,0.0,43.0,0.0
12431,13.0,338.0,373.0,471.48
12432,2.0,130.0,172.0,871.33
12434,1.0,176.0,260.0,519.89
12436,0.0,0.0,99.0,0.0
12437,14.0,330.0,331.0,325.62
12441,0.0,0.0,366.0,0.0
12442,0.0,0.0,3.0,0.0
12444,4.0,150.0,171.0,783.82
12445,0.0,0.0,22.0,0.0
12446,0.0,0.0,57.0,0.0
12447,0.0,0.0,243.0,0.0
12448,0.0,0.0,44.0,0.0
12449,3.0,165.0,187.0,1069.45
12450,1.0,17.0,173.0,96.0
12452,0.0,0.0,16.0,0.0
12453,0.0,0.0,134.0,0.0
12454,0.0,0.0,56.0,0.0
12455,5.0,223.0,296.0,156.59
12456,2.0,210.0,254.0,1120.44
12457,6.0,173.0,239.0,282.33
12458,1.0,213.0,284.0,505.48
12461,1.0,60.0,154.0,200.0
12462,1.0,285.0,303.0,427.48
12463,3.0,188.0,241.0,331.4
12464,6.0,299.0,309.0,166.36
12465,1.0,152.0,169.0,301.25
12468,1.0,129.0,316.0,508.95
12471,19.0,362.0,364.0,919.14
12472,6.0,337.0,369.0,823.47
12473,3.0,162.0,191.0,1088.79
12474,16.0,312.0,329.0,445.4
12475,0.0,0.0,53.0,0.0
12476,9.0,346.0,361.0,756.0
12478,0.0,0.0,3.0,0.0
12479,0.0,0.0,11.0,0.0
12480,3.0,308.0,336.0,821.79
12481,7.0,343.0,365.0,776.71
12483,7.0,322.0,339.0,276.77
12484,5.0,304.0,336.0,680.61
12488,2.0,66.0,75.0,372.64
12489,0.0,0.0,336.0,0.0
12490,9.0,324.0,329.0,505.97
12491,0.0,0.0,38.0,0.0
12492,1.0,42.0,105.0,136.82
12493,1.0,32.0,197.0,201.24
12494,6.0,350.0,365.0,198.08
12497,0.0,0.0,81.0,0.0
12498,1.0,36.0,57.0,156.45
12500,9.0,310.0,333.0,434.76
12501,0.0,0.0,336.0,0.0
12502,4.0,214.0,309.0,776.66
12504,1.0,12.0,30.0,32.65
12506,0.0,0.0,232.0,0.0
12507,2.0,164.0,298.0,429.32
12508,1.0,3.0,29.0,123.08
12509,0.0,0.0,284.0,0.0
12510,1.0,183.0,325.0,301.52
12512,0.0,0.0,66.0,0.0
12513,0.0,0.0,112.0,0.0
12514,0.0,0.0,267.0,0.0
12515,0.0,0.0,353.0,0.0
12516,1.0,103.0,180.0,728.86
12517,3.0,162.0,190.0,578.63
12518,4.0,110.0,110.0,433.02
12519,0.0,0.0,63.0,0.0
12520,4.0,194.0,273.0,411.71
12521,0.0,0.0,142.0,0.0
12522,1.0,12.0,51.0,103.32
12523,10.0,312.0,331.0,168.68
12524,7.0,324.0,333.0,592.62
12526,2.0,94.0,94.0,398.18
12527,2.0,244.0,325.0,108.1
12528,5.0,303.0,312.0,287.99
12530,3.0,277.0,336.0,424.96
12531,0.0,0.0,14.0,0.0
12532,0.0,0.0,30.0,0.0
12534,0.0,0.0,130.0,0.0
12535,1.0,95.0,186.0,344.9
12538,0.0,0.0,29.0,0.0
12540,16.0,342.0,361.0,782.45
12541,2.0,251.0,280.0,334.39
12544,0.0,0.0,36.0,0.0
12545,1.0,184.0,259.0,372.24
12546,1.0,31.0,77.0,401.3
